pincode,state,district
110001,DELHI,DELHI
110002,DELHI,DELHI
110003,DELHI,DELHI
110004,DELHI,DELHI
110005,DELHI,DELHI
110006,DELHI,DELHI
110007,DELHI,DELHI
110008,DELHI,DELHI
110009,DELHI,DELHI
110010,DELHI,DELHI
110011,DELHI,DELHI
110012,DELHI,DELHI
110013,DELHI,DELHI
110014,DELHI,DELHI
110015,DELHI,DELHI
110016,DELHI,DELHI
110017,DELHI,DELHI
110018,DELHI,DELHI
110019,DELHI,DELHI
110020,DELHI,DELHI
110021,DELHI,DELHI
110022,DELHI,DELHI
110023,DELHI,DELHI
110024,DELHI,DELHI
110025,DELHI,DELHI
110026,DELHI,DELHI
110027,DELHI,DELHI
110028,DELHI,DELHI
110029,DELHI,DELHI
110030,DELHI,DELHI
110031,DELHI,DELHI
110032,DELHI,DELHI
110033,DELHI,DELHI
110034,DELHI,DELHI
110035,DELHI,DELHI
110036,DELHI,DELHI
110037,DELHI,DELHI
110038,DELHI,DELHI
110039,DELHI,DELHI
110040,DELHI,DELHI
110041,DELHI,DELHI
110042,DELHI,DELHI
110043,DELHI,DELHI
110044,DELHI,DELHI
110045,DELHI,DELHI
110046,DELHI,DELHI
110047,DELHI,DELHI
110048,DELHI,DELHI
110049,DELHI,DELHI
110050,DELHI,DELHI
110051,DELHI,DELHI
110052,DELHI,DELHI
110053,DELHI,DELHI
110054,DELHI,DELHI
110055,DELHI,DELHI
110056,DELHI,DELHI
110057,DELHI,DELHI
110058,DELHI,DELHI
110059,DELHI,DELHI
110060,DELHI,DELHI
110061,DELHI,DELHI
110062,DELHI,DELHI
110063,DELHI,DELHI
110064,DELHI,DELHI
110065,DELHI,DELHI
110066,DELHI,DELHI
110067,DELHI,DELHI
110068,DELHI,DELHI
110069,DELHI,DELHI
110070,DELHI,DELHI
110071,DELHI,DELHI
110072,DELHI,DELHI
110073,DELHI,DELHI
110074,DELHI,DELHI
110075,DELHI,DELHI
110076,DELHI,DELHI
110077,DELHI,DELHI
110078,DELHI,DELHI
110079,DELHI,DELHI
110080,DELHI,DELHI
110081,DELHI,DELHI
110082,DELHI,DELHI
110083,DELHI,DELHI
110084,DELHI,DELHI
110085,DELHI,DELHI
110086,DELHI,DELHI
110087,DELHI,DELHI
110088,DELHI,DELHI
110089,DELHI,DELHI
110090,DELHI,DELHI
110091,DELHI,DELHI
110092,DELHI,DELHI
110093,DELHI,DELHI
110094,DELHI,DELHI
110095,DELHI,DELHI
110096,DELHI,DELHI
110097,DELHI,DELHI
110101,DELHI,DELHI
110102,DELHI,DELHI
110103,DELHI,DELHI
110104,DELHI,DELHI
110105,DELHI,DELHI
110106,DELHI,DELHI
110107,DELHI,DELHI
110108,DELHI,DELHI
110109,DELHI,DELHI
110110,DELHI,DELHI
110112,DELHI,DELHI
110113,DELHI,DELHI
110114,DELHI,DELHI
110115,DELHI,DELHI
110116,DELHI,DELHI
110117,DELHI,DELHI
110118,DELHI,DELHI
110119,DELHI,DELHI
110120,DELHI,DELHI
110121,DELHI,DELHI
110122,DELHI,DELHI
110124,DELHI,DELHI
110125,DELHI,DELHI
110301,DELHI,DELHI
110302,DELHI,DELHI
110401,DELHI,DELHI
110402,DELHI,DELHI
110403,DELHI,DELHI
110501,DELHI,DELHI
110502,DELHI,DELHI
110503,DELHI,DELHI
110504,DELHI,DELHI
110505,DELHI,DELHI
110506,DELHI,DELHI
110507,DELHI,DELHI
110508,DELHI,DELHI
110509,DELHI,DELHI
110510,DELHI,DELHI
110511,DELHI,DELHI
110512,DELHI,DELHI
110601,DELHI,DELHI
110602,DELHI,DELHI
110603,DELHI,DELHI
110604,DELHI,DELHI
110605,DELHI,DELHI
110606,DELHI,DELHI
110607,DELHI,DELHI
110608,DELHI,DELHI
110609,DELHI,DELHI
111105,DELHI,DELHI
111112,DELHI,DELHI
111114,DELHI,DELHI
111120,DELHI,DELHI
111121,DELHI,DELHI
116019,DELHI,DELHI
120001,HARYANA,GURGAON
120002,HARYANA,GURGAON
121000,HARYANA,FARIDABAD
121001,HARYANA,FARIDABAD
121002,HARYANA,FARIDABAD
121003,HARYANA,FARIDABAD
121004,HARYANA,BALLABGARH
121005,HARYANA,BALLABGARH
121006,HARYANA,BALLABGARH
121007,HARYANA,FARIDABAD
121008,HARYANA,FARIDABAD
121009,HARYANA,FARIDABAD
121010,HARYANA,FARIDABAD
121011,HARYANA,FARIDABAD
121012,HARYANA,FARIDABAD
121013,HARYANA,FARIDABAD
121101,HARYANA,BALLABGARH
121102,HARYANA,BALLABGARH
121103,HARYANA,BALLABGARH
121104,HARYANA,BALLABGARH
121105,HARYANA,BALLABGARH
121106,HARYANA,BALLABGARH
121206,HARYANA,FARIDABAD
122000,HARYANA,GURGAON
122001,HARYANA,GURGAON
122002,HARYANA,GURGAON
122003,HARYANA,GURGAON
122004,HARYANA,GURGAON
122005,HARYANA,GURGAON
122006,HARYANA,GURGAON
122007,HARYANA,GURGAON
122008,HARYANA,GURGAON
122009,HARYANA,GURGAON
122010,HARYANA,GURGAON
122011,HARYANA,GURGAON
122012,HARYANA,GURGAON
122014,HARYANA,GURGAON
122015,HARYANA,GURGAON
122016,HARYANA,GURGAON
122017,HARYANA,GURGAON
122018,HARYANA,GURGAON
122019,HARYANA,GURGAON
122020,HARYANA,GURGAON
122021,HARYANA,GURGAON
122022,HARYANA,GURGAON
122023,HARYANA,GURGAON
122024,HARYANA,GURGAON
122025,HARYANA,GURGAON
122026,HARYANA,GURGAON
122027,HARYANA,GURGAON
122028,HARYANA,GURGAON
122029,HARYANA,GURGAON
122030,HARYANA,GURGAON
122031,HARYANA,GURGAON
122032,HARYANA,GURGAON
122033,HARYANA,GURGAON
122050,HARYANA,MANESAR
122051,HARYANA,MANESAR
122052,HARYANA,GURGAON
122055,HARYANA,GURGAON
122101,HARYANA,MANESAR
122102,HARYANA,SOHNA
122103,HARYANA,SOHNA
122104,HARYANA,GURGAON
122105,HARYANA,DHARUHERA
122106,DELHI,DELHI
122107,HARYANA,GURGAON
122203,HARYANA,GURGAON
122204,HARYANA,GURGAON
122206,HARYANA,GURGAON
122207,HARYANA,GURGAON
122208,HARYANA,GURGAON
122209,HARYANA,MANESAR
122211,HARYANA,GURGAON
122213,HARYANA,GURGAON
122214,HARYANA,GURGAON
122215,HARYANA,GURGAON
122216,HARYANA,GURGAON
122217,HARYANA,GURGAON
122218,HARYANA,GURGAON
122219,HARYANA,GURGAON
122220,HARYANA,GURGAON
122223,HARYANA,GURGAON
122224,HARYANA,GURGAON
122225,HARYANA,GURGAON
122226,HARYANA,GURGAON
122227,HARYANA,GURGAON
122228,HARYANA,GURGAON
122229,HARYANA,GURGAON
122230,HARYANA,GURGAON
122231,HARYANA,GURGAON
122232,HARYANA,GURGAON
122233,HARYANA,GURGAON
122234,HARYANA,GURGAON
122413,HARYANA,GURGAON
122414,HARYANA,GURGAON
122503,HARYANA,GURGAON
122504,HARYANA,DHARUHERA
122505,HARYANA,GURGAON
122506,HARYANA,GURGAON
123001,HARYANA,MAHENDRAGARH
123021,HARYANA,MAHENDRAGARH
123023,HARYANA,BAWAL
123029,HARYANA,MAHENDRAGARH
123101,HARYANA,REWARI
123102,HARYANA,BAWAL
123106,HARYANA,DHARUHERA
123110,HARYANA,GURGAON
123302,HARYANA,REWARI
123401,HARYANA,REWARI
123411,HARYANA,REWARI
123413,HARYANA,DHARUHERA
123414,HARYANA,REWARI
123501,HARYANA,REWARI
123504,HARYANA,GURGAON
123506,HARYANA,GURGAON
124001,HARYANA,ROHTAK
124010,HARYANA,ROHTAK
124021,HARYANA,ROHTAK
124103,HARYANA,JHAJJAR
124106,HARYANA,JHAJJAR
124108,HARYANA,JHAJJAR
124112,HARYANA,ROHTAK
124113,HARYANA,ROHTAK
124201,HARYANA,JHAJJAR
124501,HARYANA,ROHTAK
124507,HARYANA,JHAJJAR
124514,HARYANA,ROHTAK
124517,HARYANA,ROHTAK
125001,HARYANA,HISAR
125002,HARYANA,HISAR
125003,HARYANA,HISAR
125004,HARYANA,HISAR
125005,HARYANA,HISAR
125006,HARYANA,HISSAR
125011,HARYANA,HISAR
125021,HARYANA,BHIWANI
125033,HARYANA,HISAR
125034,HARYANA,HISSAR
125039,HARYANA,HISAR
125047,HARYANA,FATEHABAD
125050,HARYANA,FATEHABAD
125051,HARYANA,FATEHABAD
125052,HARYANA,HISAR
125053,HARYANA,HISSAR
125055,HARYANA,SIRSA
125057,HARYANA,SIRSA
125075,HARYANA,SIRSA
125076,HARYANA,SIRSA
125102,HARYANA,SIRSA
125104,PUNJAB,SIRSA
125106,HARYANA,HISSAR
125111,HARYANA,FATEHABAD
125112,HARYANA,HISAR
125113,HARYANA,HISSAR
125120,HARYANA,FATEHABAD
125121,HARYANA,HISAR
125122,HARYANA,HISSAR
125133,HARYANA,FATEHABAD
125201,HARYANA,SIRSA
126001,HARYANA,HISSAR
126008,HARYANA,HISAR
126101,HARYANA,JIND
126102,HARYANA,JIND
126104,HARYANA,JIND
126112,HARYANA,JIND
126113,HARYANA,JIND
126115,HARYANA,HISSAR
126116,HARYANA,JIND
126126,HARYANA,HISSAR
126127,HARYANA,HISSAR
126128,HARYANA,HISSAR
127020,HARYANA,ROHTAK
127021,HARYANA,BHIWANI
127028,HARYANA,BHIWANI
127030,HARYANA,BHIWANI
127032,HARYANA,BHIWANI
127040,HARYANA,BHIWANI
127046,HARYANA,BHIWANI
127201,HARYANA,ROHTAK
127306,HARYANA,BHIWANI
127308,HARYANA,BHIWANI
131001,HARYANA,SONIPAT
131002,HARYANA,SONIPAT
131021,HARYANA,SONIPAT
131022,HARYANA,KUNDLI
131023,HARYANA,SONIPAT
131027,HARYANA,SONIPAT
131028,HARYANA,SONIPAT
131029,HARYANA,SONIPAT
131038,HARYANA,PANIPAT
131039,HARYANA,SONIPAT
131101,HARYANA,SONIPAT
131103,HARYANA,SONIPAT
